scientific.name,common.name,iconic.taxon.name,groups,observed.on,place.guess,positional.accuracy,user.login,user.id,captive.cultivated,url,image.url,license,source,checklist,count,longitude,latitude
Evodinus monticola,Evodinus monticola,Insecta,Insects,2023-06-11,"12 Schoodic Shores, Winter Harbor, ME 04693, USA",59,kstudey,470381,false,https://www.inaturalist.org/observations/167280295,https://inaturalist-open-data.s3.amazonaws.com/photos/289776512/medium.jpeg,CC-BY-NC,iNaturalist,NA,1,-68.0591453612,44.3373579126
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-06-16,Acadia NP--Jesup Path,NA,NA,NA,NA,https://ebird.org/checklist/S141764791,NA,NA,eBird,S141764791,1,-68.2112038,44.3672499
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-06-16,"686 Park Loop Road, Bar Harbor, Maine, US (44.36, -68.199)",NA,NA,NA,NA,https://ebird.org/checklist/S141736586,NA,NA,eBird,S141736586,10,-68.1994538,44.360299500000004
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-06-16,Acadia NP--Jordan Pond Path,NA,NA,NA,NA,https://ebird.org/checklist/S141733683,NA,NA,eBird,S141733683,1,-68.2499805,44.3242409
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-06-16,Acadia NP--Sieur de Monts Spring and Wild Gardens,NA,NA,NA,NA,https://ebird.org/checklist/S141708063,NA,NA,eBird,S141708063,1,-68.2079691,44.36181
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-06-14,Norway Drive & Crooked Rd. Fields,NA,NA,NA,NA,https://ebird.org/checklist/S141572293,NA,NA,eBird,S141572293,1,-68.2950926,44.4160035
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-06-14,Acadia NP--Visitor Center,NA,NA,NA,NA,https://ebird.org/checklist/S141543633,NA,NA,eBird,S141543633,1,-68.2463949,44.4084752
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-06-14,Acadia NP--Cannon Brook Trail,NA,NA,NA,NA,https://ebird.org/checklist/S141567353,NA,NA,eBird,S141567353,1,-68.2039511,44.3479516
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-06-13,Acadia NP--Seawall Campground,NA,NA,NA,NA,https://ebird.org/checklist/S141666195,NA,NA,eBird,S141666195,1,-68.3073664,44.2433544
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-06-13,Acadia NP--Ship Harbor Trail,NA,NA,NA,NA,https://ebird.org/checklist/S141456379,NA,NA,eBird,S141456379,2,-68.3256161,44.2316668
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-06-13,Acadia NP--Witch Hole Pond Carriage Path Loop,NA,NA,NA,NA,https://ebird.org/checklist/S141468804,NA,NA,eBird,S141468804,3,-68.2464695,44.3990651
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-06-13,Acadia NP--Alder Trail,NA,NA,NA,NA,https://ebird.org/checklist/S141617165,NA,NA,eBird,S141617165,5,-68.0561185,44.3443026
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-06-13,Acadia NP--Great Meadow,NA,NA,NA,NA,https://ebird.org/checklist/S141432576,NA,NA,eBird,S141432576,1,-68.2070087,44.3669684
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-06-12,Acadia NP--Bubble Pond,NA,NA,NA,NA,https://ebird.org/checklist/S141366102,NA,NA,eBird,S141366102,1,-68.2402897,44.3455195
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-06-12,Acadia NP--Schoodic Point,NA,NA,NA,NA,https://ebird.org/checklist/S141644980,NA,NA,eBird,S141644980,1,-68.0603456,44.3324746
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-06-12,Acadia NP (Please use more specific location if possible),NA,NA,NA,NA,https://ebird.org/checklist/S141397452,NA,NA,eBird,S141397452,3,-68.2733291,44.3385984
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-06-12,Acadia NP--Schoodic Peninsula,NA,NA,NA,NA,https://ebird.org/checklist/S141345288,NA,NA,eBird,S141345288,1,-68.0582428,44.3403019
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-06-12,Acadia NP--Cadillac Mtn.,NA,NA,NA,NA,https://ebird.org/checklist/S141432408,NA,NA,eBird,S141432408,1,-68.2260418,44.3534831
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-06-12,Acadia NP--Seawall Pond,NA,NA,NA,NA,https://ebird.org/checklist/S141328746,NA,NA,eBird,S141328746,1,-68.299427,44.2426166
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-06-11,"Hemlock trail extension/ Strath Eden Trail to Kebo, Bar Harbor US-ME 44.36855, -68.21064",NA,NA,NA,NA,https://ebird.org/checklist/S141280395,NA,NA,eBird,S141280395,1,-68.210638,44.36855
Fagus grandifolia,american beech,Plantae,Plants,2023-06-14,"Cochrane Point, Acadia National Park, Hancock County, US-ME, US",17,johnreiss,322934,false,https://www.inaturalist.org/observations/167464001,https://inaturalist-open-data.s3.amazonaws.com/photos/290106213/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-68.261405,44.3407383333
Botaurus lentiginosus,american bittern,Aves,Birds,2023-06-14,Acadia NP--Sieur de Monts Spring and Wild Gardens,NA,NA,NA,NA,https://ebird.org/checklist/S141570954,NA,NA,eBird,S141570954,1,-68.2079691,44.36181
Botaurus lentiginosus,american bittern,Aves,Birds,2023-06-13,Acadia NP--Great Meadow,NA,NA,NA,NA,https://ebird.org/checklist/S141431146,NA,NA,eBird,S141431146,1,-68.2070087,44.3669684
Botaurus lentiginosus,american bittern,Aves,Birds,2023-06-11,"Hemlock trail extension/ Strath Eden Trail to Kebo, Bar Harbor US-ME 44.36855, -68.21064",NA,NA,NA,NA,https://ebird.org/checklist/S141280395,NA,NA,eBird,S141280395,1,-68.210638,44.36855
Anas rubripes,american black duck,Aves,Birds,2023-06-16,Acadia NP--Thompson Island,NA,NA,NA,NA,https://ebird.org/checklist/S141777640,NA,NA,eBird,S141777640,1,-68.3651733,44.4267926
Anas rubripes,american black duck,Aves,Birds,2023-06-12,Acadia NP--Seawall Picnic Area,NA,NA,NA,NA,https://ebird.org/checklist/S141387415,NA,NA,eBird,S141387415,3,-68.3025,44.2373
Anas rubripes,american black duck,Aves,Birds,2023-06-12,Acadia NP--Schoodic Peninsula,NA,NA,NA,NA,https://ebird.org/checklist/S141345288,NA,NA,eBird,S141345288,6,-68.0582428,44.3403019
Anas rubripes,american black duck,Aves,Birds,2023-06-12,Acadia NP--Blackwoods Campground Shore,NA,NA,NA,NA,https://ebird.org/checklist/S141322247,NA,NA,eBird,S141322247,3,-68.2013869,44.3065086
Lithobates catesbeianus,american bullfrog,Amphibia,Amphibians,2023-06-10,"Jordan Pond, Mount Desert, ME, US",28,frankwatkins,3544173,false,https://www.inaturalist.org/observations/167549968,https://inaturalist-open-data.s3.amazonaws.com/photos/290262564/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-68.2541883333,44.3226366667
Lithobates catesbeianus,american bullfrog,Amphibia,Amphibians,2023-06-10,"Jordan Pond, Mount Desert, ME, US",4,robertwatkins,3544083,false,https://www.inaturalist.org/observations/167460068,https://inaturalist-open-data.s3.amazonaws.com/photos/290098506/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-68.2541716667,44.3226466667
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-16,Acadia NP--Fabbri Parking Lot,NA,NA,NA,NA,https://ebird.org/checklist/S141773260,NA,NA,eBird,S141773260,2,-68.1954405,44.3143854
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-16,Acadia NP--Sand Beach,NA,NA,NA,NA,https://ebird.org/checklist/S141765700,NA,NA,eBird,S141765700,3,-68.1822252,44.3292206
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-16,Acadia NP--Cadillac Mtn.,NA,NA,NA,NA,https://ebird.org/checklist/S141756393,NA,NA,eBird,S141756393,2,-68.2260418,44.3534831
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-16,Acadia NP--Jesup Path,NA,NA,NA,NA,https://ebird.org/checklist/S141764791,NA,NA,eBird,S141764791,3,-68.2112038,44.3672499
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-16,Acadia NP--Schoodic Institute Campus,NA,NA,NA,NA,https://ebird.org/checklist/S141719117,NA,NA,eBird,S141719117,1,-68.0611429,44.3353649
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-16,Acadia NP--Jordan Pond Path,NA,NA,NA,NA,https://ebird.org/checklist/S141716787,NA,NA,eBird,S141716787,3,-68.2499805,44.3242409
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-16,Sutton Island,NA,NA,NA,NA,https://ebird.org/checklist/S141716350,NA,NA,eBird,S141716350,1,-68.2605183,44.2724791
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-16,Acadia NP--Sieur de Monts Spring and Wild Gardens,NA,NA,NA,NA,https://ebird.org/checklist/S141708063,NA,NA,eBird,S141708063,1,-68.2079691,44.36181
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-16,ACADIA NP,NA,NA,NA,NA,https://ebird.org/checklist/S141703739,NA,NA,eBird,S141703739,3,-68.1896245,44.3207266
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-15,Acadia NP--Jordan Pond House,NA,NA,NA,NA,https://ebird.org/checklist/S141673779,NA,NA,eBird,S141673779,2,-68.2540226,44.3210234
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-15,Acadia NP--Thunder Hole,NA,NA,NA,NA,https://ebird.org/checklist/S141666104,NA,NA,eBird,S141666104,1,-68.1887506,44.320651
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-15,Acadia NP--Schoodic Loop Road (Mt. Desert Narrows),NA,NA,NA,NA,https://ebird.org/checklist/S141663252,NA,NA,eBird,S141663252,2,-68.076409,44.366956
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-15,Acadia NP--Great Meadow,NA,NA,NA,NA,https://ebird.org/checklist/S141661261,NA,NA,eBird,S141661261,3,-68.2070087,44.3669684
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-15,Acadia NP--Frazer Point,NA,NA,NA,NA,https://ebird.org/checklist/S141651798,NA,NA,eBird,S141651798,2,-68.0752723,44.3754377
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-15,Acadia NP--Lower Harbor Trail,NA,NA,NA,NA,https://ebird.org/checklist/S141644594,NA,NA,eBird,S141644594,2,-68.0718599,44.3841206
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-15,Acadia NP--Mansell Mt Perpendicular Trail,NA,NA,NA,NA,https://ebird.org/checklist/S141618711,NA,NA,eBird,S141618711,1,-68.3549166,44.3018615
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-15,Acadia NP--Seawall Picnic Area,NA,NA,NA,NA,https://ebird.org/checklist/S141608216,NA,NA,eBird,S141608216,1,-68.3025,44.2373
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-14,Suminsby Park - Sargent Drive,NA,NA,NA,NA,https://ebird.org/checklist/S141576610,NA,NA,eBird,S141576610,6,-68.304306,44.3361417
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-14,Acadia NP--Otter Pt.,NA,NA,NA,NA,https://ebird.org/checklist/S141566693,NA,NA,eBird,S141566693,3,-68.1901217,44.3072668
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-14,Acadia NP--The Tarn,NA,NA,NA,NA,https://ebird.org/checklist/S141584626,NA,NA,eBird,S141584626,1,-68.2063608,44.3574672
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-14,Acadia NP--Gorham Mtn.,NA,NA,NA,NA,https://ebird.org/checklist/S141591292,NA,NA,eBird,S141591292,3,-68.1930828,44.328269
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-14,"Ship Harbor Trail, Southwest Harbor, Maine, US (44.23, -68.322)",NA,NA,NA,NA,https://ebird.org/checklist/S141570334,NA,NA,eBird,S141570334,2,-68.3216304,44.2300957
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-14,Acadia NP--Park Loop Rd.,NA,NA,NA,NA,https://ebird.org/checklist/S141567409,NA,NA,eBird,S141567409,1,-68.1873322,44.3469312
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-14,Duck Brook Road,NA,NA,NA,NA,https://ebird.org/checklist/S141561100,NA,NA,eBird,S141561100,1,-68.2378136,44.387811
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-14,Acadia NP--Eagle Lake,NA,NA,NA,NA,https://ebird.org/checklist/S141582605,NA,NA,eBird,S141582605,2,-68.2511902,44.3766313
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-14,"Acadia NP, Grover Avenue, Mount Desert, Maine, US (44.322, -68.204)",NA,NA,NA,NA,https://ebird.org/checklist/S141567523,NA,NA,eBird,S141567523,4,-68.2036584,44.3220302
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-14,"Acadia National Park, Birch Harbor US-ME 44.33848, -68.04775",NA,NA,NA,NA,https://ebird.org/checklist/S141524913,NA,NA,eBird,S141524913,1,-68.047745,44.338482
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-14,Acadia NP--Dorr Pt. & Compass Harbor,NA,NA,NA,NA,https://ebird.org/checklist/S141524697,NA,NA,eBird,S141524697,4,-68.1922996,44.375481
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-13,Fernald Point,NA,NA,NA,NA,https://ebird.org/checklist/S141488613,NA,NA,eBird,S141488613,8,-68.316361,44.299618
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-13,Acadia NP--Otter Cove Causeway,NA,NA,NA,NA,https://ebird.org/checklist/S141481226,NA,NA,eBird,S141481226,2,-68.1996059,44.3173389
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-13,Acadia NP--Blackwoods Campground Shore,NA,NA,NA,NA,https://ebird.org/checklist/S141462777,NA,NA,eBird,S141462777,1,-68.2013869,44.3065086
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-13,Acadia NP--Ship Harbor Trail,NA,NA,NA,NA,https://ebird.org/checklist/S141456379,NA,NA,eBird,S141456379,1,-68.3256161,44.2316668
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-13,Acadia NP--Wonderland Trail,NA,NA,NA,NA,https://ebird.org/checklist/S141448951,NA,NA,eBird,S141448951,3,-68.3198708,44.233752
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-13,Norway Drive & Crooked Rd. Fields,NA,NA,NA,NA,https://ebird.org/checklist/S141432368,NA,NA,eBird,S141432368,3,-68.2950926,44.4160035
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-13,Acadia NP--Valley Cove,NA,NA,NA,NA,https://ebird.org/checklist/S141444481,NA,NA,eBird,S141444481,2,-68.3174376,44.3075112
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-12,Acadia NP--Long Pond Fire Rd.,NA,NA,NA,NA,https://ebird.org/checklist/S141404210,NA,NA,eBird,S141404210,3,-68.3750504,44.3287902
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-12,Acadia NP--Pretty Marsh picnic area,NA,NA,NA,NA,https://ebird.org/checklist/S141403814,NA,NA,eBird,S141403814,2,-68.4041781,44.3334847
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-12,Acadia NP--Dorr Mountain,NA,NA,NA,NA,https://ebird.org/checklist/S141352529,NA,NA,eBird,S141352529,1,-68.2149696,44.3546645
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-12,Acadia NP (Please use more specific location if possible),NA,NA,NA,NA,https://ebird.org/checklist/S141397452,NA,NA,eBird,S141397452,2,-68.2733291,44.3385984
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-12,Acadia NP--Hunters Beach Trail,NA,NA,NA,NA,https://ebird.org/checklist/S141403866,NA,NA,eBird,S141403866,3,-68.218108,44.2996791
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-12,Acadia NP--Seawall Pond,NA,NA,NA,NA,https://ebird.org/checklist/S141328746,NA,NA,eBird,S141328746,6,-68.299427,44.2426166
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-11,"Hemlock trail extension/ Strath Eden Trail to Kebo, Bar Harbor US-ME 44.36855, -68.21064",NA,NA,NA,NA,https://ebird.org/checklist/S141280395,NA,NA,eBird,S141280395,8,-68.210638,44.36855
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-11,Mansell Mountain,NA,NA,NA,NA,https://ebird.org/checklist/S141219094,NA,NA,eBird,S141219094,3,-68.3588219,44.3007558
Corvus brachyrhynchos,american crow,Aves,Birds,2023-06-10,Acadia NP--Bald Peak,NA,NA,NA,NA,https://ebird.org/checklist/S141406660,NA,NA,eBird,S141406660,2,-68.2838058,44.3351452
Spinus tristis,american goldfinch,Aves,Birds,2023-06-16,Acadia NP--Fabbri Parking Lot,NA,NA,NA,NA,https://ebird.org/checklist/S141773260,NA,NA,eBird,S141773260,1,-68.1954405,44.3143854
Spinus tristis,american goldfinch,Aves,Birds,2023-06-16,Acadia NP--Jesup Path,NA,NA,NA,NA,https://ebird.org/checklist/S141741326,NA,NA,eBird,S141741326,1,-68.2112038,44.3672499
Spinus tristis,american goldfinch,Aves,Birds,2023-06-16,Sutton Island,NA,NA,NA,NA,https://ebird.org/checklist/S141739466,NA,NA,eBird,S141739466,2,-68.2605183,44.2724791
Spinus tristis,american goldfinch,Aves,Birds,2023-06-16,Acadia NP--Precipice Trail Overlook,NA,NA,NA,NA,https://ebird.org/checklist/S141734304,NA,NA,eBird,S141734304,4,-68.1878144,44.3494526
Spinus tristis,american goldfinch,Aves,Birds,2023-06-16,"686 Park Loop Road, Bar Harbor, Maine, US (44.36, -68.199)",NA,NA,NA,NA,https://ebird.org/checklist/S141736586,NA,NA,eBird,S141736586,10,-68.1994538,44.360299500000004
Spinus tristis,american goldfinch,Aves,Birds,2023-06-16,ACADIA NP,NA,NA,NA,NA,https://ebird.org/checklist/S141703739,NA,NA,eBird,S141703739,3,-68.1896245,44.3207266
Spinus tristis,american goldfinch,Aves,Birds,2023-06-15,Acadia NP--Jordan Pond House,NA,NA,NA,NA,https://ebird.org/checklist/S141673779,NA,NA,eBird,S141673779,1,-68.2540226,44.3210234
Spinus tristis,american goldfinch,Aves,Birds,2023-06-15,Acadia NP--Great Meadow,NA,NA,NA,NA,https://ebird.org/checklist/S141661261,NA,NA,eBird,S141661261,3,-68.2070087,44.3669684
Spinus tristis,american goldfinch,Aves,Birds,2023-06-15,Acadia NP--Schoodic Institute Campus,NA,NA,NA,NA,https://ebird.org/checklist/S141608759,NA,NA,eBird,S141608759,3,-68.0611429,44.3353649
Spinus tristis,american goldfinch,Aves,Birds,2023-06-14,Acadia NP--Sieur de Monts Spring and Wild Gardens,NA,NA,NA,NA,https://ebird.org/checklist/S141570954,NA,NA,eBird,S141570954,1,-68.2079691,44.36181
Spinus tristis,american goldfinch,Aves,Birds,2023-06-14,Acadia NP--Gorham Mtn.,NA,NA,NA,NA,https://ebird.org/checklist/S141591292,NA,NA,eBird,S141591292,2,-68.1930828,44.328269
Spinus tristis,american goldfinch,Aves,Birds,2023-06-14,Acadia NP--Visitor Center,NA,NA,NA,NA,https://ebird.org/checklist/S141551166,NA,NA,eBird,S141551166,2,-68.2463949,44.4084752
Spinus tristis,american goldfinch,Aves,Birds,2023-06-13,Fernald Point,NA,NA,NA,NA,https://ebird.org/checklist/S141488613,NA,NA,eBird,S141488613,4,-68.316361,44.299618
Spinus tristis,american goldfinch,Aves,Birds,2023-06-13,Norway Drive & Crooked Rd. Fields,NA,NA,NA,NA,https://ebird.org/checklist/S141432368,NA,NA,eBird,S141432368,10,-68.2950926,44.4160035
Spinus tristis,american goldfinch,Aves,Birds,2023-06-13,Acadia NP--Valley Cove,NA,NA,NA,NA,https://ebird.org/checklist/S141444481,NA,NA,eBird,S141444481,2,-68.3174376,44.3075112
Spinus tristis,american goldfinch,Aves,Birds,2023-06-12,Acadia NP--Blackwoods Campground Shore,NA,NA,NA,NA,https://ebird.org/checklist/S141403594,NA,NA,eBird,S141403594,2,-68.2013869,44.3065086
Spinus tristis,american goldfinch,Aves,Birds,2023-06-12,Acadia NP--Sand Beach,NA,NA,NA,NA,https://ebird.org/checklist/S141363133,NA,NA,eBird,S141363133,1,-68.1822252,44.3292206
Spinus tristis,american goldfinch,Aves,Birds,2023-06-12,Acadia NP--Otter Cove Causeway,NA,NA,NA,NA,https://ebird.org/checklist/S141339440,NA,NA,eBird,S141339440,3,-68.1996059,44.3173389
Spinus tristis,american goldfinch,Aves,Birds,2023-06-12,Acadia NP--Wonderland Trail,NA,NA,NA,NA,https://ebird.org/checklist/S141327671,NA,NA,eBird,S141327671,1,-68.3198708,44.233752
Spinus tristis,american goldfinch,Aves,Birds,2023-06-11,Acadia NP--Cadillac Mtn.,NA,NA,NA,NA,https://ebird.org/checklist/S141224672,NA,NA,eBird,S141224672,1,-68.2260418,44.3534831
Spinus tristis,american goldfinch,Aves,Birds,2023-06-11,Acadia NP--Ship Harbor Trail,NA,NA,NA,NA,https://ebird.org/checklist/S141200332,NA,NA,eBird,S141200332,2,-68.3256161,44.2316668
Phyllodesma americana,american lappet moth,Insecta,Insects,2023-06-12,"Acadia National Park, Bar Harbor, ME, US",10,omorrill,2183725,false,https://www.inaturalist.org/observations/167128950,https://inaturalist-open-data.s3.amazonaws.com/photos/289486333/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-68.2076033333,44.36207
Haematopus palliatus,american oystercatcher,Aves,Birds,2023-06-14,Egg Rock,NA,NA,NA,NA,https://ebird.org/checklist/S141556164,NA,NA,eBird,S141556164,1,-68.139267,44.3527006
Tamiasciurus hudsonicus,american red squirrel,Mammalia,Mammals,2023-06-10,"Acadia National Park, Southwest Harbor, ME, US",62,omorrill,2183725,false,https://www.inaturalist.org/observations/166939436,https://inaturalist-open-data.s3.amazonaws.com/photos/289132066/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-68.3128327606,44.2300401165
Setophaga ruticilla,american redstart,Aves,Birds,2023-06-16,Acadia NP--Jordan Pond Path,NA,NA,NA,NA,https://ebird.org/checklist/S141765645,NA,NA,eBird,S141765645,1,-68.2499805,44.3242409
Setophaga ruticilla,american redstart,Aves,Birds,2023-06-16,Acadia NP--Jesup Path,NA,NA,NA,NA,https://ebird.org/checklist/S141764791,NA,NA,eBird,S141764791,2,-68.2112038,44.3672499
Setophaga ruticilla,american redstart,Aves,Birds,2023-06-16,Sutton Island,NA,NA,NA,NA,https://ebird.org/checklist/S141739466,NA,NA,eBird,S141739466,2,-68.2605183,44.2724791
Setophaga ruticilla,american redstart,Aves,Birds,2023-06-16,Acadia NP--Precipice Trail Overlook,NA,NA,NA,NA,https://ebird.org/checklist/S141734304,NA,NA,eBird,S141734304,2,-68.1878144,44.3494526
Setophaga ruticilla,american redstart,Aves,Birds,2023-06-16,Acadia NP--Sieur de Monts Spring and Wild Gardens,NA,NA,NA,NA,https://ebird.org/checklist/S141708063,NA,NA,eBird,S141708063,3,-68.2079691,44.36181
Setophaga ruticilla,american redstart,Aves,Birds,2023-06-16,ACADIA NP,NA,NA,NA,NA,https://ebird.org/checklist/S141703739,NA,NA,eBird,S141703739,3,-68.1896245,44.3207266
Setophaga ruticilla,american redstart,Aves,Birds,2023-06-15,Acadia NP--Schoodic Loop Road (Mt. Desert Narrows),NA,NA,NA,NA,https://ebird.org/checklist/S141663252,NA,NA,eBird,S141663252,2,-68.076409,44.366956
Setophaga ruticilla,american redstart,Aves,Birds,2023-06-15,Acadia NP--Great Meadow,NA,NA,NA,NA,https://ebird.org/checklist/S141661261,NA,NA,eBird,S141661261,1,-68.2070087,44.3669684
Setophaga ruticilla,american redstart,Aves,Birds,2023-06-15,End of fernald point rd,NA,NA,NA,NA,https://ebird.org/checklist/S141657458,NA,NA,eBird,S141657458,1,-68.3127726,44.3001823
Setophaga ruticilla,american redstart,Aves,Birds,2023-06-15,Acadia NP--Frazer Point,NA,NA,NA,NA,https://ebird.org/checklist/S141609281,NA,NA,eBird,S141609281,1,-68.0752723,44.3754377
Setophaga ruticilla,american redstart,Aves,Birds,2023-06-14,Norway Drive & Crooked Rd. Fields,NA,NA,NA,NA,https://ebird.org/checklist/S141572293,NA,NA,eBird,S141572293,2,-68.2950926,44.4160035
Setophaga ruticilla,american redstart,Aves,Birds,2023-06-14,Acadia NP--Frazer Creek Bike Trail,NA,NA,NA,NA,https://ebird.org/checklist/S141561890,NA,NA,eBird,S141561890,2,-68.070074,44.3732469
Setophaga ruticilla,american redstart,Aves,Birds,2023-06-14,"Acadia NP, Grover Avenue, Mount Desert, Maine, US (44.322, -68.204)",NA,NA,NA,NA,https://ebird.org/checklist/S141567523,NA,NA,eBird,S141567523,1,-68.2036584,44.3220302
Setophaga ruticilla,american redstart,Aves,Birds,2023-06-14,Acadia NP--Dorr Pt. & Compass Harbor,NA,NA,NA,NA,https://ebird.org/checklist/S141524697,NA,NA,eBird,S141524697,2,-68.1922996,44.375481
Setophaga ruticilla,american redstart,Aves,Birds,2023-06-13,Acadia NP--Blackwoods Campground Shore,NA,NA,NA,NA,https://ebird.org/checklist/S141462777,NA,NA,eBird,S141462777,1,-68.2013869,44.3065086
Setophaga ruticilla,american redstart,Aves,Birds,2023-06-13,Acadia NP--Wonderland Trail,NA,NA,NA,NA,https://ebird.org/checklist/S141448951,NA,NA,eBird,S141448951,1,-68.3198708,44.233752
Setophaga ruticilla,american redstart,Aves,Birds,2023-06-13,Acadia NP--Seawall Picnic Area,NA,NA,NA,NA,https://ebird.org/checklist/S141643691,NA,NA,eBird,S141643691,2,-68.3025,44.2373
Setophaga ruticilla,american redstart,Aves,Birds,2023-06-13,Acadia NP--Anvil Trail,NA,NA,NA,NA,https://ebird.org/checklist/S141617334,NA,NA,eBird,S141617334,1,-68.0505964,44.3462065
Setophaga ruticilla,american redstart,Aves,Birds,2023-06-13,Acadia NP--Valley Cove,NA,NA,NA,NA,https://ebird.org/checklist/S141444481,NA,NA,eBird,S141444481,1,-68.3174376,44.3075112
Setophaga ruticilla,american redstart,Aves,Birds,2023-06-13,Acadia NP--Alder Trail,NA,NA,NA,NA,https://ebird.org/checklist/S141617165,NA,NA,eBird,S141617165,6,-68.0561185,44.3443026
Setophaga ruticilla,american redstart,Aves,Birds,2023-06-12,Acadia NP--Schoodic Point,NA,NA,NA,NA,https://ebird.org/checklist/S141644980,NA,NA,eBird,S141644980,1,-68.0603456,44.3324746
Setophaga ruticilla,american redstart,Aves,Birds,2023-06-11,Acadia NP--Pretty Marsh picnic area,NA,NA,NA,NA,https://ebird.org/checklist/S141267311,NA,NA,eBird,S141267311,1,-68.4041781,44.3334847
Setophaga ruticilla,american redstart,Aves,Birds,2023-06-11,Acadia NP--East Schoodic Drive ,NA,NA,NA,NA,https://ebird.org/checklist/S141208001,NA,NA,eBird,S141208001,1,-68.0390396,44.3625954
Setophaga ruticilla,american redstart,Aves,Birds,2023-06-10,Acadia NP--Jordan Pond House,NA,NA,NA,NA,https://ebird.org/checklist/S141174104,NA,NA,eBird,S141174104,1,-68.2540226,44.3210234
Setophaga ruticilla,american redstart,Aves,Birds,2023-06-10,Acadia NP--Cadillac Mtn.,NA,NA,NA,NA,https://ebird.org/checklist/S141093244,NA,NA,eBird,S141093244,1,-68.2260418,44.3534831
Turdus migratorius,american robin,Aves,Birds,2023-06-15,"Bar Harbor, ME 04609, USA",NA,tashap,2377456,false,https://www.inaturalist.org/observations/167626919,https://inaturalist-open-data.s3.amazonaws.com/photos/290405185/medium.jpeg,CC-BY,iNaturalist,NA,1,-68.1887833333,44.3208944444
